iter	Passed	Remaining
0	1	113
1	1	77
2	2	80
3	2	69
4	3	63
5	3	57
6	4	54
7	4	51
8	4	49
9	5	47
10	5	46
11	6	45
12	6	44
13	7	43
14	7	41
15	7	41
16	8	40
17	8	39
18	8	38
19	9	37
20	9	36
21	10	35
22	10	35
23	10	34
24	11	33
25	11	33
26	12	32
27	12	32
28	12	31
29	13	31
30	13	30
31	14	30
32	14	29
33	15	29
34	15	28
35	15	28
36	16	27
37	16	27
38	17	26
39	17	26
40	17	25
41	18	25
42	18	24
43	19	24
44	19	23
45	19	23
46	20	22
47	20	22
48	21	21
49	21	21
50	21	21
51	22	20
52	22	20
53	23	19
54	23	19
55	23	18
56	24	18
57	24	17
58	25	17
59	25	17
60	25	16
61	26	16
62	27	15
63	27	15
64	27	15
65	28	14
66	28	14
67	29	13
68	29	13
69	30	12
70	30	12
71	31	12
72	31	11
73	32	11
74	32	10
75	32	10
76	33	9
77	33	9
78	34	9
79	34	8
80	34	8
81	35	7
82	35	7
83	36	6
84	36	6
85	37	6
86	37	5
87	38	5
88	38	4
89	38	4
90	39	3
91	39	3
92	40	3
93	40	2
94	41	2
95	41	1
96	41	1
97	42	0
98	42	0
99	43	0
