iter	Passed	Remaining
0	46	46713
1	47	23589
2	47	15857
3	48	12008
4	51	10229
5	51	8611
6	52	7464
7	53	6619
8	53	5944
9	55	5446
10	55	5021
11	57	4694
12	57	4378
13	58	4127
14	59	3887
15	59	3675
16	60	3484
17	61	3340
18	61	3189
19	63	3087
20	64	2984
21	64	2870
22	65	2789
23	66	2706
24	67	2616
25	69	2614
26	70	2535
27	70	2461
28	71	2393
29	72	2350
30	73	2289
31	74	2267
32	75	2216
33	76	2177
34	77	2127
35	78	2088
36	78	2046
37	79	2015
38	80	1976
39	80	1936
40	81	1910
41	83	1893
42	84	1870
43	85	1852
44	85	1824
45	87	1807
46	89	1809
47	89	1782
48	90	1756
49	91	1735
50	92	1717
51	93	1696
52	96	1722
53	96	1698
54	97	1674
55	97	1650
56	98	1634
57	99	1613
58	100	1595
59	100	1575
60	101	1555
61	103	1570
62	104	1551
63	104	1532
64	107	1544
65	108	1532
66	108	1515
67	109	1504
68	112	1518
69	113	1509
70	114	1503
71	115	1489
72	116	1478
73	117	1464
74	117	1450
75	119	1453
76	120	1440
77	121	1433
78	121	1419
79	122	1412
80	124	1407
81	124	1395
82	125	1386
83	126	1374
84	131	1419
85	132	1407
86	132	1395
87	133	1385
88	134	1377
89	135	1366
90	135	1354
91	136	1349
92	137	1338
93	137	1329
94	138	1319
95	139	1315
96	140	1305
97	143	1323
98	144	1314
99	145	1308
100	145	1299
101	146	1290
102	147	1281
103	147	1272
104	148	1263
105	148	1254
106	149	1245
107	149	1237
108	150	1229
109	150	1221
110	151	1213
111	152	1205
112	152	1198
113	153	1191
114	153	1183
115	154	1175
116	154	1166
117	155	1159
118	155	1152
119	156	1148
120	157	1141
121	157	1133
122	158	1127
123	158	1120
124	159	1117
125	160	1111
126	160	1104
127	161	1097
128	161	1091
129	163	1093
130	164	1088
131	164	1082
132	165	1076
133	165	1072
134	166	1067
135	167	1061
136	167	1056
137	170	1063
138	170	1058
139	171	1053
140	172	1050
141	172	1043
142	173	1038
143	173	1033
144	174	1028
145	175	1025
146	176	1021
147	176	1016
148	177	1012
149	178	1010
150	178	1006
151	179	1001
152	180	998
153	181	997
154	182	992
155	183	994
156	184	989
157	184	985
158	185	981
159	186	977
160	186	971
161	186	967
162	187	962
163	187	957
164	188	953
165	188	947
166	189	943
167	189	938
168	189	933
169	190	928
170	190	923
171	190	919
172	191	914
173	191	910
174	192	905
175	192	901
176	192	897
177	193	893
178	193	889
179	194	884
180	194	880
181	195	876
182	195	872
183	195	868
184	196	864
185	196	860
186	197	856
187	197	852
188	197	848
189	198	844
190	198	840
191	198	837
192	199	833
193	199	829
194	200	825
195	200	821
196	200	818
197	201	814
198	201	810
199	201	807
200	202	804
201	202	800
202	203	797
203	203	794
204	204	791
205	204	787
206	204	784
207	205	781
208	205	778
209	206	775
210	206	772
211	206	768
212	207	766
213	207	763
214	208	759
215	208	757
216	208	754
217	209	750
218	209	748
219	210	745
220	210	742
221	211	739
222	211	736
223	211	733
224	212	730
225	212	727
226	212	725
227	213	722
228	213	719
229	214	716
230	214	713
231	214	711
232	215	708
233	215	706
234	216	703
235	216	701
236	217	698
237	217	696
238	217	693
239	218	691
240	218	688
241	219	686
242	219	684
243	219	681
244	220	679
245	220	676
246	221	674
247	221	671
248	221	669
249	222	666
250	222	664
251	222	661
252	223	659
253	223	657
254	224	654
255	224	652
256	225	650
257	225	648
258	225	646
259	226	644
260	226	641
261	226	639
262	227	637
263	227	634
264	228	632
265	228	630
266	228	628
267	229	626
268	229	624
269	230	622
270	230	620
271	231	618
272	231	616
273	231	614
274	232	612
275	232	610
276	233	608
277	233	606
278	233	604
279	234	602
280	234	600
281	235	598
282	235	596
283	235	594
284	236	592
285	236	590
286	237	588
287	237	587
288	237	585
289	238	583
290	238	581
291	239	579
292	239	577
293	239	575
294	240	573
295	240	572
296	240	570
297	241	568
298	241	566
299	242	564
300	242	563
301	242	561
302	243	559
303	243	557
304	243	555
305	244	553
306	244	552
307	244	550
308	245	548
309	245	547
310	246	545
311	246	544
312	247	542
313	247	541
314	248	539
315	248	537
316	248	536
317	249	534
318	249	533
319	250	531
320	250	530
321	250	528
322	251	526
323	251	525
324	252	523
325	252	522
326	252	520
327	253	518
328	253	517
329	254	515
330	254	514
331	254	512
332	255	511
333	255	509
334	255	508
335	256	506
336	256	505
337	257	503
338	257	502
339	257	500
340	258	499
341	258	497
342	259	496
343	259	494
344	259	493
345	260	491
346	260	490
347	261	489
348	261	487
349	261	486
350	262	484
351	262	483
352	262	481
353	263	480
354	263	479
355	264	477
356	264	476
357	264	474
358	265	473
359	265	472
360	265	470
361	266	469
362	266	468
363	267	466
364	267	465
365	268	464
366	268	463
367	268	461
368	269	460
369	269	459
370	270	457
371	270	456
372	270	455
373	271	454
374	271	453
375	272	452
376	272	450
377	273	449
378	273	448
379	273	446
380	274	445
381	274	444
382	275	443
383	275	442
384	276	441
385	276	439
386	276	438
387	277	437
388	277	436
389	278	435
390	278	434
391	279	433
392	279	432
393	280	431
394	280	429
395	280	428
396	281	427
397	281	426
398	282	424
399	282	423
400	282	422
401	283	421
402	283	420
403	284	419
404	284	418
405	285	417
406	285	415
407	285	414
408	286	413
409	286	412
410	286	411
411	287	410
412	287	408
413	288	407
414	288	406
415	288	405
416	289	404
417	289	403
418	290	402
419	290	400
420	290	399
421	291	398
422	291	397
423	291	396
424	292	395
425	292	394
426	292	393
427	293	392
428	293	390
429	294	389
430	294	389
431	295	388
432	295	387
433	296	386
434	296	385
435	296	383
436	297	382
437	297	381
438	297	380
439	298	379
440	298	378
441	298	377
442	299	376
443	299	375
444	300	374
445	300	373
446	300	372
447	301	371
448	301	370
449	301	368
450	302	367
451	302	366
452	303	365
453	303	364
454	303	363
455	304	362
456	304	361
457	304	360
458	305	359
459	305	358
460	306	357
461	306	356
462	306	356
463	307	355
464	307	354
465	308	353
466	308	352
467	308	351
468	309	350
469	309	349
470	309	348
471	310	347
472	310	346
473	311	345
474	311	344
475	312	343
476	312	342
477	313	341
478	313	340
479	313	340
480	314	339
481	314	338
482	314	337
483	315	336
484	315	335
485	316	334
486	316	333
487	316	332
488	317	331
489	317	330
490	317	329
491	318	328
492	318	327
493	319	326
494	319	326
495	320	325
496	320	324
497	320	323
498	321	322
499	321	321
500	321	320
501	322	319
502	322	318
503	323	317
504	323	316
505	323	316
506	324	315
507	324	314
508	324	313
509	325	312
510	325	311
511	326	310
512	326	310
513	326	309
514	327	308
515	327	307
516	328	306
517	328	305
518	328	304
519	329	303
520	329	302
521	329	302
522	330	301
523	330	300
524	331	299
525	331	298
526	331	297
527	332	296
528	332	296
529	332	295
530	333	294
531	333	293
532	334	292
533	334	292
534	335	291
535	335	290
536	335	289
537	336	288
538	336	287
539	337	287
540	337	286
541	337	285
542	338	284
543	338	283
544	338	282
545	339	281
546	339	281
547	339	280
548	340	279
549	340	278
550	341	278
551	341	277
552	341	276
553	342	275
554	342	274
555	343	273
556	343	273
557	343	272
558	344	271
559	344	270
560	344	269
561	345	269
562	345	268
563	345	267
564	346	266
565	346	265
566	347	265
567	347	264
568	347	263
569	348	262
570	348	261
571	348	261
572	349	260
573	349	259
574	349	258
575	350	257
576	350	257
577	350	256
578	351	255
579	351	254
580	352	254
581	352	253
582	353	252
583	353	251
584	354	251
585	354	250
586	355	249
587	355	249
588	355	248
589	356	247
590	356	246
591	356	245
592	357	245
593	357	244
594	358	243
595	358	242
596	358	242
597	359	241
598	359	240
599	360	240
600	360	239
601	360	238
602	361	237
603	361	237
604	362	236
605	362	235
606	363	235
607	363	234
608	363	233
609	364	232
610	364	232
611	365	231
612	365	230
613	366	230
614	366	229
615	367	228
616	367	228
617	368	227
618	368	226
619	368	226
620	369	225
621	369	224
622	370	223
623	370	223
624	370	222
625	371	221
626	371	221
627	371	220
628	372	219
629	372	218
630	373	218
631	373	217
632	374	216
633	374	216
634	374	215
635	375	214
636	375	214
637	376	213
638	376	212
639	376	211
640	377	211
641	377	210
642	378	209
643	378	209
644	378	208
645	379	207
646	379	207
647	379	206
648	380	205
649	380	205
650	381	204
651	381	203
652	381	202
653	382	202
654	382	201
655	383	200
656	383	200
657	383	199
658	384	198
659	384	198
660	385	197
661	385	196
662	385	196
663	386	195
664	386	194
665	387	194
666	387	193
667	387	192
668	388	192
669	388	191
670	389	190
671	389	190
672	389	189
673	390	188
674	390	188
675	390	187
676	391	186
677	391	186
678	392	185
679	392	184
680	392	184
681	393	183
682	393	182
683	394	182
684	394	181
685	394	180
686	395	180
687	395	179
688	396	178
689	396	178
690	396	177
691	397	176
692	397	176
693	398	175
694	398	175
695	399	174
696	399	173
697	400	173
698	400	172
699	401	171
700	401	171
701	401	170
702	402	169
703	402	169
704	403	168
705	403	168
706	403	167
707	404	166
708	404	166
709	404	165
710	405	164
711	405	164
712	406	163
713	406	162
714	406	162
715	407	161
716	407	160
717	408	160
718	408	159
719	409	159
720	409	158
721	409	157
722	410	157
723	410	156
724	411	155
725	411	155
726	411	154
727	412	154
728	412	153
729	413	152
730	413	152
731	414	151
732	414	150
733	414	150
734	415	149
735	415	149
736	415	148
737	416	147
738	416	147
739	417	146
740	417	145
741	417	145
742	418	144
743	418	144
744	418	143
745	419	142
746	419	142
747	420	141
748	420	140
749	421	140
750	422	140
751	423	139
752	423	139
753	424	138
754	424	137
755	425	137
756	425	136
757	426	136
758	426	135
759	427	134
760	427	134
761	428	133
762	430	133
763	431	133
764	431	132
765	432	131
766	432	131
767	432	130
768	433	130
769	433	129
770	434	128
771	434	128
772	434	127
773	435	127
774	435	126
775	436	125
776	436	125
777	437	124
778	437	124
779	437	123
780	438	122
781	438	122
782	439	121
783	439	121
784	439	120
785	440	119
786	440	119
787	441	118
788	441	118
789	442	117
790	443	117
791	444	116
792	445	116
793	446	115
794	446	115
795	446	114
796	447	113
797	447	113
798	448	112
799	448	112
800	448	111
801	449	110
802	449	110
803	450	109
804	450	109
805	451	108
806	451	108
807	451	107
808	452	106
809	452	106
810	453	105
811	453	104
812	453	104
813	454	103
814	454	103
815	455	102
816	455	102
817	456	101
818	456	100
819	456	100
820	457	99
821	457	99
822	458	98
823	458	97
824	459	97
825	460	96
826	460	96
827	460	95
828	461	95
829	461	94
830	462	93
831	462	93
832	462	92
833	463	92
834	463	91
835	464	91
836	464	90
837	465	89
838	465	89
839	465	88
840	466	88
841	466	87
842	467	87
843	467	86
844	467	85
845	468	85
846	468	84
847	469	84
848	469	83
849	469	82
850	470	82
851	470	81
852	471	81
853	471	80
854	472	80
855	472	79
856	472	78
857	473	78
858	474	77
859	474	77
860	475	76
861	476	76
862	476	75
863	476	75
864	477	74
865	477	73
866	478	73
867	478	72
868	479	72
869	479	71
870	480	71
871	480	70
872	481	69
873	481	69
874	481	68
875	482	68
876	482	67
877	483	67
878	483	66
879	483	65
880	484	65
881	484	64
882	485	64
883	485	63
884	485	63
885	486	62
886	486	61
887	487	61
888	487	60
889	488	60
890	488	59
891	489	59
892	489	58
893	489	58
894	490	57
895	490	56
896	491	56
897	491	55
898	492	55
899	492	54
900	492	54
901	493	53
902	493	53
903	494	52
904	494	51
905	494	51
906	495	50
907	495	50
908	496	49
909	496	49
910	496	48
911	497	47
912	497	47
913	497	46
914	498	46
915	498	45
916	499	45
917	499	44
918	500	44
919	500	43
920	500	42
921	501	42
922	501	41
923	502	41
924	502	40
925	503	40
926	503	39
927	503	39
928	504	38
929	504	38
930	505	37
931	505	36
932	506	36
933	506	35
934	507	35
935	507	34
936	508	34
937	508	33
938	509	33
939	509	32
940	510	32
941	510	31
942	511	30
943	511	30
944	512	29
945	512	29
946	513	28
947	513	28
948	513	27
949	514	27
950	514	26
951	515	25
952	515	25
953	515	24
954	516	24
955	516	23
956	516	23
957	517	22
958	517	22
959	518	21
960	518	21
961	518	20
962	519	19
963	519	19
964	519	18
965	520	18
966	520	17
967	521	17
968	521	16
969	521	16
970	522	15
971	522	15
972	523	14
973	523	13
974	524	13
975	524	12
976	524	12
977	525	11
978	525	11
979	526	10
980	526	10
981	527	9
982	527	9
983	527	8
984	528	8
985	528	7
986	529	6
987	529	6
988	529	5
989	530	5
990	530	4
991	530	4
992	531	3
993	531	3
994	532	2
995	532	2
996	532	1
997	533	1
998	533	0
999	534	0
